成語,解釋,例句,注音,字義,近義詞,反義詞,
忍無可忍,形容忍耐到了極限，再也不能忍受。,坡坡忍無可忍，把紙飛機撕得粉碎。,忍無可忍,,,,
怒火中燒,怒氣如火焰在心中燃燒。形容極為憤怒。,坡坡怒火中燒，嚇了安安一跳。,怒火中燒,,,,
追根究柢,追查深究事情的根源。,「讀了這本又厚又重的書，又有什麼用呢？」小宇追根究柢的問著。,追根究柢,,,,
生機勃勃,生命力旺盛，充滿生氣活力。,各種大小昆蟲在草叢中或唱或跳，或者展翅飛翔、草上跳躍，到處生機勃勃。,生機勃勃,,朝氣蓬勃,氣息奄奄,
盡心竭力,費盡心思，用盡全身力氣。,為了下個月的園遊會，他盡心竭力準備擺攤的各種設備。,盡心竭力,盡心：用盡心力。,全力以赴,,
千山萬水,眾多的山岳、河流。比喻路途遙遠險峻。,他不怕山高路遠，無畏嚴寒酷暑，走遍了千山萬水。,千山萬水,,,,
搖頭晃腦,腦袋不停搖動。形容自認自己是正確的或自己樂在其中。,這本小說實在太有趣，子祈一邊搖頭晃腦的讀著，一邊連聲讚嘆。,搖頭晃腦,晃：晃動。,得意洋洋,,
張牙舞爪,原形容野獸的兇相。後比喻張揚作勢、猖狂凶惡的樣子。,敵人從山下張牙舞爪的衝了上來。,張牙舞爪,,齜牙咧嘴,喜眉笑眼,
眼明手快,目光銳利，動作迅速。形容做事機警敏捷。,如果想打好乒乓球，運動員必須具有眼明手快的本領。,眼明手快,疾：快。,,呆頭呆腦,
口乾舌燥,口舌乾渴。多指因說話太多而口渴。,音樂老師負責指導全年級的合唱，一天下來累得口乾舌燥。,口乾舌燥,,,,
五彩繽紛,形容色彩繁多豔麗。,春天的荒野中，百花盛開，嫩葉從枝頭爭先恐後的冒出，眼前一片五彩繽紛。,五彩繽紛,五彩：各種顏色。,五顏六色,,
搖搖欲墜,搖搖晃晃，就要墜落。形容極不穩固，就要傾倒。也比喻即將垮臺。,這顆搖搖欲墜的牙齒讓我感覺很不舒服。,搖搖欲墜,,危如累卵、岌岌可危、風雨飄搖,穩如泰山,
拍案而起,拍打桌面並突然站起。形容憤怒至極。,聞人質被撕票，警政署長拍案而起，怒不可遏。,拍案而起,,,,
勃然大怒,形容人大發脾氣的樣子。,得知兒子的荒唐行徑，父親勃然大怒，嚴加斥責。,勃然大怒,勃然：發怒衝動的樣子。,,,
大發雷霆,比喻大發脾氣，高聲責罵。,他這個人脾氣暴躁，只要一點小事不順心，就會大發雷霆，亂罵一通。,大發雷霆,霆：形容極響的雷聲。,怒不可遏、勃然大怒、暴跳如雷,心平氣和、平心靜氣、和顏悅色,
火冒三丈,形容十分生氣憤怒。,花錢還受罪，真教人火冒三丈。,火冒三丈,,,,
橫眉怒目,瞪大雙眼，豎起眉毛。形容滿臉怒容的樣子。,他生來就脾氣暴躁，動不動就橫眉怒目。,橫眉怒目,,,,
視而不見,儘管睜著眼睛，卻什麼也沒看見。表示不重視或假裝沒看見。,安安想方設法吸引坡坡的注意，坡坡仍然視而不見。,視而轐見,,,,
投其所好,迎合別人的喜好。,安安想用美食投其所好。,投其所號,,曲意逢迎、阿諛奉承、阿諛逢迎,剛正不阿,
正中下懷,恰好符合自己的想法。,安安在廚房裡找來找去，發現一盤紅燒肉，真是正中下懷！,正中下懷,,如願以償、稱心如意,大失所望、事與願違,
臭味相投,比喻性格、志趣相互投合。,坡坡原諒了安安，兩個臭味相投的好朋友又和好了。,秀味相投,,,,
春光明媚,形容春天的景色美麗多彩。,植樹節那天，春光明媚，老師帶我們在校園中種下小樹苗。,春光明媚,明媚：鮮明可愛。,,,
忐忑不安,指心裡七上八下，心神不寧。,小明打破了家裡的花瓶，覺得忐忑不安，深怕被爸媽責備處罰。,忐忑不安,忐忑：心神不寧。,坐立不安,,
五穀豐登,各種穀類作物大豐收。指收成好的豐年。,王叔叔用科學方法改良耕種方式，田地連年五穀豐登。,五穀豐登,五穀：指稻、豆類、麥、小米、高粱。泛指農作物。,,,
春華秋實,春天開花，秋天結果。比喻事物的因果關係。,他的學問如此淵博，全是靠著平日的努力不懈，可說是春華秋實。,春花秋實,華：同「花」，指開花。,,,
爭先恐後,爭著向前，唯恐落後。,馬路上趕著上班上學的車潮一見綠燈亮起，紛紛爭先恐後的起步往前。,爭先恐後,,力爭上游,畏縮不前,
七上八下,形容心情起伏不定、心神不寧。,小恩交出數學考卷後發現漏寫了好幾題，心情整天總是七上八下，擔心自己的成績。,七上八下,,心神不定、六神無主、如坐針氈、坐立不安、忐忑不安、惴惴不安,心安神泰、泰然自若、泰然處之,
喜怒哀樂,喜悅、憤怒、哀傷、快樂。泛指人的各種情緒。,在很多童話故事中，植物、動物不但能說話，也和人一樣有喜怒哀樂。,喜怒哀樂,,悲歡離合,,
不可思議,原為佛教用語，指言語思維不能達到的神祕境界。後指出乎常情，令人難以想像、不能理解。,我們可以從童話情節中認識許多奇特的朋友，經歷不可思議的旅程，還能獲得很多啟示。,不可思議,議：意見、言論。注意不要寫成「義」。,匪夷所思、難以置信,可想而知、合情合理,
寸步難行,形容走路非常困難。也形容處境非常艱難。,今早出門時剛好碰到塞車，我們困在車陣中寸步難行。,寸步難行,寸步：指極短的距離。,步履維艱,,
妙不可言,形容奇妙到了極點，無法用言語表達。,在童話王國裡，什麼都有可能發生，一切都妙不可言。,妙不可言,,,,
大失所望,指希望全部落空，感到非常失望。,沒想到這碗紅燒肉超級難吃，安安和坡坡大失所望。,大失所望,,,,
情投意合,形容雙方心意感情相契合。,他們兩人都喜歡看同一種題材的電影，所以才剛認識便一拍即合。,情投意合,,心心相印、同心合意、志同道合、意氣相投,同床異夢、格格不入、貌合神離,
一拍即合,一打拍子就對上了曲子的節奏。比喻同類型的人事物易湊合在一起。,他們兩人都喜歡看同一種題材的電影，所以才剛認識便一拍即合。,義拍即合,,,,
不謀而合,沒有事先商量，而彼此見解或行動就能一致。,當經理要我們推薦理想人選時，我們不謀而合地說出同一個人的名字。,不謀而合,,不約而同,,
志同道合,彼此的想法和興趣一致。,每逢假日，幾個志同道合的朋友小聚，真是人生一大樂事。,志同道合,,情投意合、意氣相投,不相為謀、扞格不入、同床異夢、貌合神離,
心照不宣,雙方明瞭彼此想法，不須開口。,他們倆共事已久，許多事往往心照不宣，便能彼此默契，相互配合處理完善。,心照不宣,,心知肚明、心照神交、心領神會,,
滿口答應,表示毫無保留的完全應允。,老師推薦安安代表學校參加校際盃成語比賽，安安想也不想就滿口答應。,滿口答應,,,,
後悔莫及,事後懊悔，已經來不及補救挽回了。,安安對自己的所作所為後悔莫及。,後悔莫及,,,,
多行不義必自斃,壞事做多了，一定會自取滅亡。,民間故事大多善惡分明，惡人往往多行不義必自斃。,多行不義必自斃,斃：死。,自取滅亡,,
適可而止,指事情做到恰到好處就該停止。,想維持健康的身體，不論是運動或飲食都應適可而止，才不會對身體造成負擔。,適可而止,,,過猶不及,
碩大無朋,大得無法與之相比。形容極大。,他栽種芒果時施加了特別的肥料，並且悉心照顧，收成的芒果果實和一般市售的尺寸比起來，真是碩大無朋。,碩大無朋,碩：大。朋：比。,,小巧玲瓏,
心馳神往,形容心神專注、一心嚮往於某事物。,這本小說中描述的和平與安樂生活，讓人心馳神往。,心馳神往,馳：嚮往。注意不要寫成「弛」。,,,
顧影自憐,望著自己的影子，自己憐惜自己。也指看著自己美好的形象，自我欣賞。,身為籃球校隊的哥哥身材高挑、長相帥氣，平常總愛在鏡子前面顧影自憐，非常滿意自己的外表。,顧影自憐,顧：看。,孤芳自賞(自我欣賞之意),,
淚如泉湧,眼淚像泉水一樣湧出。形容極其悲痛。,一說到傷心處，她禁不住淚如泉湧。,淚如泉湧,,淚如雨下,,
潸然淚下,形容哀傷落淚的樣子。,看著銀幕上訣別的場面，她不禁潸然淚下。,潸然淚下,潸然：流淚的樣子。,,,
泣不成聲,哭得無法發出聲音。形容極度悲傷。,聽到好友過世的消息，他泣不成聲。,泣不成聲,,,,
痛哭流涕,形容非常傷心。,看到自己辛苦經營的事業毀於一旦，他不禁痛哭流涕，傷心欲絕。,痛哭流涕,涕：眼淚。,,,
欲哭無淚,想哭卻哭不出來。比喻極度哀痛或無奈。,眼看著一年的辛勞在一場暴風雨下化為烏有，果農們個個哀聲嘆氣，欲哭無淚。,欲哭無淚,,,,
車水馬龍,形容車馬往來不絕，非常繁華熱鬧。,坡坡穿過車水馬龍的大街，來到碼頭。,車水馬龍,,門庭若市、肩摩轂擊、熙來攘往、熙熙攘攘,門可羅雀,
飄洋過海,渡過海洋。指遠離家鄉，前往異國。,坡坡飄洋過海，想要遠離安安居住的城市。,飄洋過海,,,,
翻山越嶺,翻越過一座又一座山嶺。形容長途跋涉的艱辛。,坡坡翻山越嶺，堅定的朝著目的地前進。,翻山越嶺,,,,
一覽無遺,一眼就將情勢或景物全看在眼裡，毫無遺漏。,坡坡登上了一座高山，眼前的風景一覽無遺。,義覽無遺,,,,
從天而降,從天上突然落下。形容突然出現，令人難以置信。,忽然，一隻烏鴉從天而降，還扔下一塊金牌。,從天而降,,,,
歷歷在目,清楚明白的呈現在眼前。,坡坡看著金牌陷入回憶，和安安許下諾言的情景歷歷在目。,歷歷在目,,歷歷可見,霧裡看花,
一無所獲,什麼都沒有得到。,老漁夫獨自一人出海捕魚，一連數日都一無所獲。,義無所獲,,兩手空空,滿載而歸,
念念有詞,舊指道士僧侶口中念咒或念經。現多指低聲自語，或含糊不清的說個不停。,明天的大考攸關學期成績，他念念有詞的默記公式，連爸爸叫他吃晚餐都沒聽到。,念念有詞,念唸：誦讀。,喃喃自語,,
忘其所以,形容因過度興奮得意而失去常態。,他們結婚已久，終於盼得第一個孩子平安出生，兩人高興得忘其所以。,望其所以,,得意忘形,,
兩手空空,手裡完全沒有一毛錢或任何東西。形容一無所有。,他從年輕起沉迷於賭博，敗光了所有家產，最後落得兩手空空，甚至無家可歸。,兩手空空,, ,滿載而歸,
心滿意足,形容心理非常滿足如意。,弟弟收到了心愛的生日禮物，心滿意足的笑了。,心滿意足,,稱心如意,大失所望,
化為烏有,變得什麼都沒有了。指全部消失或完全落空。,只要投入媽媽溫暖的懷抱，他就覺得剛才受到的委屈立刻化為烏有。,化為烏有,化：改變。烏有：虛無、沒有。,,,
滄海一粟,大海裡的一顆穀粒，形容非常渺小而微不足道。,銀河系對宇宙來說，只不過是滄海一粟。,滄海宜粟,粟：穀子。注意不要寫成「栗」。,九牛一毛、、微不足道、微乎其微,盈千累萬,
寒風刺骨,寒冷的風刺入骨髓。形容極度寒冷。,這週適逢寒流來襲，走在戶外只覺得寒風刺骨，讓人實在沒有想出門的動力。,寒風刺骨,,冰天雪地,,
繪聲繪影,形容講述或描繪事物，非常深刻入微且逼真。,歷史老師擅長把課文幻化為生動的故事，繪聲繪影之餘還不忘引導學生思辨真相，成為我們班最受歡迎的一堂課。,繪聲繪影,,栩栩如生,,
風光旖旎,形容景色柔和美好。,春天的植物園風光旖旎，處處都有紅花綠葉、蟲鳴鳥唱，讓人心曠神怡。,豐功旖旎,旖旎：柔媚的樣子。,,,
鱗次櫛比,像魚鱗和梳齒般緊密有序的排列著。多用來形容房屋或船隻密集。,次：排列。櫛：梳子、篦子（細齒梳）的總稱。,鱗次櫛必,,,,
萬家燈火,形容繁榮城鎮夜晚燈火通明的景象。,,萬家燈火,,,,
通都大邑,四通八達的繁華大都市。,,通督大義,,,,
車馬輻輳,形容車馬眾多，非常擁擠。,,車馬輻輳,,,,
川流不息,像河水般流個不停，形容連綿不絕或往返不斷。比喻來往的人、車輛或船隻很多。,今天想寫作的心情特別強，腦筋裡的靈感如川流不息般地浮現。,川流不息,,車水馬龍、絡繹不絕、熙來攘往,稀稀落落,
孤芳自賞,把自己當作獨特不凡的香花而自我欣賞。比喻自命清高，自我欣賞。,如果每個人讀書後都只會關起門來孤芳自賞，這個世界又怎會進步呢？,孤芳自賞,孤芳：一枝獨秀的香花。,顧影自憐,,
居高臨下,占據高處，俯向低處。形容處於有利的地勢或地位。,老鷹隨著上升氣流振翅一飛，瞬間攀到高空中，居高臨下的眺望地表萬物。,居高臨下,居：站在，處於。臨：面對。,,,
粉身碎骨,身體碎成粉末。指喪失生命，也比喻為了目的而獻身。,面對敵人來襲，全體士兵都抱著粉身碎骨的覺悟，立志一定要保衛國家與人民。,粉身碎骨,,肝膽塗地,,
氣壯山河,形容氣勢像高山大河般雄偉豪邁。,電影生動重現了古代三國演義的戰爭場景——只見關羽登高一呼，氣壯山河，士兵們莫不提起精神，奮勇作戰。,氣壯山河,,氣勢磅礴,有氣無力,
望風披靡,草木隨風伏倒。形容被強大的氣勢所壓倒。,在生活困苦的年代，奶奶不但養活了一家人，甚至靠自學苦讀獲得學位，在家族間望風披靡，人人都欽佩不已。,望風披靡,披：拆裂、去除。靡：順勢倒下。,,,
同舟共濟,同坐一條船過河。比喻在困境中同心協力，克服困難。,這場比賽十分驚險，多虧所有球員發揮了同舟共濟的團隊精神，終於贏得勝利。,同舟共濟,,同心同德、同心協力、同甘共苦、休戚與共、禍福與共,分崩離析、同床異夢、離心離德,
各司其事,各自負責做好自己的本職工作。,在大專案中，只有團隊成員各司其事，才能發揮最高的效率。,各司其事,司：掌管。,,,
同甘共苦,共同享受歡樂幸福，共同承擔禍患苦難。,臺灣這幾十年來的成就是全國同胞同甘共苦所換來的。,同甘共苦,,,,
眾志成城,眾人同心協力，力量有如堅固的城牆。比喻團結一致就能形成強大的力量。,在當前外交情勢窘迫之際，國人更應抱持眾志成城的意念，突破困境。,眾志成城,城：城牆。,萬眾一心,一盤散沙,
群策群力,集合眾人的智慧和能力。,災區重建不單是地方政府的事，得由所有相關單位群策群力，克服一切困難來完成。,群策群力,,同心協力、畢力同心,一意孤行、孤行己見、孤軍作戰、單打獨鬥、單槍匹馬、獨斷專行,
坐立不安,坐也不「是」，站也不「是」。形容心情非常緊張、焦躁的樣子。,直到週末，安安左等右等，還是沒有坡坡的消息，急得坐立不安。,坐立不安,,心神不定、忐忑不安、惴惴不安、寢食難安,心安理得、安之若素、處之泰然,
不知不覺,沒有意識到，無意之中。,安安出門倒垃圾，不知不覺走到了他和坡坡的秘密基地。,不知不覺,,,,
觸景生情,受到眼前景物的觸動，引起內心產生情緒。,安安觸景生情，回想起和坡坡在秘密基地立下的約定。,觸景生情,,見鞍思馬、睹物思人、撫今追昔、觸景傷情,無動於衷,
嚎啕大哭,形容放聲大哭。,金牌又被烏鴉叼走了，安安不禁嚎啕大哭。,嚎啕大哭,嚎：ㄏㄠˊ,,,
叱吒風雲,大聲怒喝，就使風雲變化。形容威力、聲勢極大，足以左右世局。,十九世紀時，英國國力強大，殖民地遍及印度、澳洲、紐西蘭等地，在世界舞臺上叱吒風雲。,叱吒風雲,叱吒：怒喝聲。「吒」注意不要讀成「ㄔㄚˋ」。,拔山蓋世、氣吞山河,無足輕重、微不足道,
弄巧成拙,本想賣弄聰明，結果做了蠢事，或把事情弄得更糟。,這幅畫本來已經很美，卻被他補上一筆不相襯的顏色，導致弄巧成拙，毀了一副佳作。,弄巧成拙,巧：靈巧。拙：笨拙。,畫蛇添足,,
如鳥獸散,形容像驚嚇的鳥、獸一樣四處逃散。,下課時同學們玩得太過投入，常常等到老師走入教室，眾人才如鳥獸散般跑回座位。,如鳥獸散,,潰不成軍,,
大步流星,形容腳步邁得大，走得飛快。,聽到放學的鈴聲響起，同學們紛紛背起書包，大步流星的趕著回家。,大部流星,,健步如飛,步履維艱,
怒氣沖沖,形容滿臉怒氣，十分激動。,發現自己最珍惜的小說被撕破，他怒氣沖沖的質問曾向他借書的同學。,怒氣沖沖,沖沖：情緒激動的樣子。,怒氣沖天,,
重整旗鼓,重新整頓軍中發號施令用的旗幟和戰鼓。比喻失敗或受挫後整頓力量再出發。,安安決定重整旗鼓，打起精神尋找坡坡。,崇整旗鼓,,另起爐灶、東山再起、捲土重來,一蹶不振、銷聲匿跡,
默默無言,不聲不響，閉口無言。,明天就是期末考，只見平時熱鬧活潑的同學們都安靜坐在座位上，默默無言，認真讀書。,默默無言,,默不作聲,滔滔不絕,
包羅萬象,形容內容豐富多樣，應有盡有。,現代的資訊發達，網路上可以找到包羅萬象的訊息，大大擴展我們的視野。,包羅萬象,包羅：包含、網羅。萬象：各式各樣的事物。,一應俱全、森羅萬象、無所不包、無所不有、應有盡有,一無所有、空空如也,
各有所長,指每個人或每一種事物都有其長處、優點。,一隻手上的五根手指，各有不同姿態，各具不同特徵，各有所長也各有所短。,各有所長,,各有千秋,,
養尊處優,處在尊貴的地位，過著優渥的生活。,他的家境富有，從小過著養尊處優的生活，長大後離家到外地求學，才發現自己竟然什麼都不會。,養尊處優,尊：尊貴，不可寫作「遵」。,無所用心、飽食終日、嬌生慣養,含辛茹苦、飽經風霜,
絞盡腦汁,比喻費盡了腦力心思，想盡辦法。,我絞盡腦汁思考這個問題，試圖找出一個合理的解答。,絞盡腦汁,,想方設法,,
默不作聲,沉默不出聲也不說話。,小傑使盡全力打出全壘打，球卻飛出場外，砸破了體育館的玻璃！頓時大家都默不作聲，不曉得該如何是好。,默轐作聲,,默默無言,高談闊論,
忍俊不禁,忍不住發笑。,剛滿一歲的小表妹搖搖晃晃的學著走路、吃東西，可愛逗趣的模樣讓我忍俊不禁。,忍俊不金,忍俊：含笑。不禁：不能自制、止不住。,啞然失笑,,
如左右手,比喻得力的助手，或彼此的關係密切親近。,他長期擔任董事長的祕書，協助安排工作行程、會議和各單位間的溝通，是個如左右手的重要角色。,如左右手,,,,
波瀾壯闊,比喻氣勢雄壯浩大。,這首交響曲氣勢波瀾壯闊，讓人不禁熱血沸騰。,波瀾壯闊,波瀾：波浪、波濤。,氣勢磅礴,,
惻隱之心,看到他人遭受苦難而產生的憐憫同情之心。,姊姊在路上遇到一隻受傷的小狗，動了惻隱之心，便帶牠回家了。,惻隱之心,惻隱：憐憫、同情。,悲天憫人,鐵石心腸,
天寒地凍,形容天氣非常寒冷。,外面天寒地凍，路上行人稀少。,天寒地凍,,,,
寒冬臘月,指農曆十二月天氣最冷的時候。泛指寒冷的冬季。,,寒冬臘月,,,,
雪虐風饕,形容風雪交加的酷寒。,,雪虐風饕,,,,
滴水成冰,水滴下後很快就結成冰。形容天氣極為寒冷。,,滴水成冰,,,,
杳無音信,指一點消息也沒有。,一個星期過去了，坡坡仍然杳無音信。,秒無音信,,,,
感同身受,指雖未親身經歷，但就像自身承受一樣。,姊姊對安安的心情感同身受，主動幫忙安安去貼尋狗啟事。,感同身受,,,,
齊心協力,形容想法一致，共同團結努力，達成目標。,爸爸、媽媽也來幫忙了，一家人齊心協力尋找坡坡。,齊心協力,,,,
不慌不忙,不慌張也不匆忙。形容人的舉止從容不迫，非常鎮定。,地震發生時全家都很驚恐，只見媽媽不慌不忙的拿出防災包，並指揮大家盡速前往避難地點。,不慌不忙,,從容不迫,手忙腳亂,
無憂無慮,沒有任何憂慮。形容心情非常舒服自然。,叔叔忙碌工作了多年，退休後終於可以無憂無慮的過著清閒的生活。,無憂無慮,, ,憂心忡忡,
源源不絕,形容連續不斷的樣子。,他把握腦海中源源不絕的靈感，寫下這篇曠世巨作。,源源不絕,源源：水流不斷。,,,
爭奇鬥豔,爭相展現各種新奇豔麗的風貌，藉以吸引旁人。,在金曲獎頒獎典禮上，與會者們莫不用盡心思裝扮自己，爭奇鬥豔。,爭奇鬥艷,,,,
耿耿於懷,心中有事牽掛無法忘記，不能開懷。,當年沒能對撿到錢包的善心人士親口道謝，一直讓我耿耿於懷。,耿耿於懷,,念念不忘,置之腦後,
無窮無盡,指沒有極限與盡頭。,天地間隱藏著無窮無盡的奧祕，正等待我們去尋找。,無窮無盡,窮、盡：完。,,,
一模一樣,形容完全相同，沒有什麼兩樣。,他只不過嘗了這道菜幾口，就動手做出了一模一樣的口味。,義模宜樣,,,截然不同,
兵來將擋，水來土掩,比喻不論碰到什麼狀況，都有可以應對的方法。,讀書時如果碰到瓶頸，只要抱持著兵來將擋，水來土掩的精神，針對自己的弱點對症下藥，都能夠克服。,兵來將擋，水來土掩,掩：遮蔽、蓋住。,,,
不入虎穴，焉得虎子,不進入老虎的巢穴，怎能抓到小老虎？比喻若想達到目標就必須深入冒險。,不入虎穴，焉得虎子？生態攝影師為了拍攝精彩的照片，常常得冒險踏入叢林祕境，追尋稀少或危險生物的足跡。,轐入虎穴，焉得虎子,穴：巢穴。焉：怎麼。,,知難而退,
讚不絕口,不斷說著稱讚的話語。,客人對媽媽的烹飪技術讚不絕口。,讚不絕口,,,,
有口皆碑,眾人稱頌的話語，就像刻在記功碑上一樣到處流傳。比喻人人稱讚，廣受好評。,他的手藝有口皆碑，所經營的餐廳因而生意好的不得了。,有口皆碑,碑：指記功頌德的石碑。,,,
心悅誠服,內心喜悅且誠心誠意的歸服或信服。,經過一番辯論後，他終於心悅誠服地接受了對方的意見。,心悅誠服,,心甘情願、心折首肯、心服口服,陽奉陰違,
拍案叫絕,拍著桌子叫好。形容極為讚賞。,這位主持人，妙語如珠，觀眾拍案叫絕之聲，如雷灌耳。,拍案叫絕,,拍案稱奇、擊節稱賞、讚不絕口,嗤之以鼻,
推崇備至,無比的尊敬和佩服。,李教授學問淵博、涵養深厚，全校師生對他推崇備至。,推崇備至,,,,
食不知味,吃東西時無法感受食物的美味。形容憂慮不安或操勞。,坡坡離開之後，安安變得悶悶不樂、食不知味。,食不知味,,,,
悶悶不樂,形容心裡憂鬱煩悶，不開心。,每當他說錯了話，做錯了事，他總是悶悶不樂。,悶悶轐樂,,,心花怒放,
紛紛揚揚,形容雪、花、樹葉等雜亂飄散飛揚。,坡坡孤零零的走在街上，雪花紛紛揚揚的從空中飄落。,紛紛洋洋,,,,
飢寒交迫,飢餓寒冷，交相逼迫。,雪越來越大，好幾天沒吃東西的坡坡飢寒交迫。,飢寒交迫,,,,
憂心忡忡,形容心事重重，憂愁不安、十分擔心的樣子。,聽到惡劣天氣的氣象預報，安安更加憂心忡忡。,憂心忡忡,,,,
井井有條,形容整齊有秩序。,學校的圖書館總是井井有條的將書籍按正確分類擺放，方便讀者查找閱讀。,井井有條,井井：整齊。,井然有序、有條不紊,亂七八糟、雜亂無章,
千姿百態,形容姿態樣貌豐富多變。,奶奶全心照顧花園，裡面種植的植物千姿百態，成為附近最美麗的風景。,千滋百太,,千篇一律,,
爭分奪秒,不放過一分一秒。形容對時間很珍惜，毫不浪費。,病患因車禍受傷而緊急送醫，醫生正爭分奪秒的進行手術，搶救病患的性命。,爭分奪秒,,分秒必爭,光陰虛度,
刮目相看,改變舊有的眼光，用新的眼光來看待事物。,安安在學校的成語比賽中獲得第一名，讓石老師刮目相看。,刮目相看,,另眼相看,一視同仁,
丟三落四,形容因馬虎或記憶力不好而顧此失彼。,我經常丟三落四，到了學校才發現忘記帶課本，校外教學又忘記帶水壺。,丟三辣四,落：遺漏。,,一絲不苟,
耳聞目睹,親耳聽到，親眼看到。,只要順手把每日耳聞目睹的事記錄下來，寫作文時就不怕沒有素材。,耳聞目睹,,道聽塗說,,
相提並論,把狀況相似的人物或事件放在一起談論或同等看待。,馬拉松和游泳雖然都是運動，但需要的訓練和注意事項不可能相提並論。,相提並論,,等量齊觀,,
翻來覆去,來回翻轉身體，多指失眠。形容一次又一次，多次反覆。,我翻來覆去的找遍整個房間，依然沒有找到眼鏡。,翻來覆去,,三番五次,,
迫不及待,情況急迫得不能再等待。形容心情十分急切。,眼看美食當前，弟弟迫不及待的拿起碗筷就要開動。,迫不及待,迫：緊急。,刻不容緩、迫在眉睫、急不可待、燃眉之急,慢條斯理、從容不迫,
廢寢忘食,顧不得睡覺和吃飯。形容做事非常專心投入。,安安為了達成目標，廢寢忘食的用功學習。,廢寢忘食,,,,
如影隨形,好像影子總是跟著身體。形容彼此關係密切，常在一起。,她們總是同進同出，如影隨形，有如姊妹一般。,如影隨形,,,,
如膠似漆,像膠或漆一樣黏在一起。形容關係非常堅固密切。,他們幾個人的感情一直如膠似漆，十分親密。,如膠似漆,,如影隨形、形影不離、膠漆相投,同床異夢、琴瑟不調、貌合神離、勢如水火,
休戚與共,憂喜、福禍彼此共同承擔。形容關係密切，同甘共苦。,休：喜悅、吉利；戚：憂愁、悲哀。,休戚與共,,休戚相關、息息相關、脣齒相依、禍福與共,渺不相涉、漠不相關,
親密無間,關係非常親密，完全沒有隔閡。,團結就是力量，指的就是彼此相互信任，親密無間，才能凝聚力量，發揮作用。,親密吳建,,,,
交口稱譽,眾人齊聲稱讚。,安安的進步得到了老師和同學的交口稱譽。,膠口稱預,,,,
揚眉吐氣,形容被壓抑的心情得到舒展而高興、暢快的神情。,安安第一次得到第一名，總算在大家面前揚眉吐氣了。,揚眉吐氣,,出人頭地,垂頭喪氣,
覆水難收,潑出去的水很難再收回。比喻事成定局，無法改變。,等安安反應過來，才發現已經覆水難收，只能硬著頭皮完成這個不可能的任務。,覆水難收,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
